sample	gType	txCode	tx	bioRep	grp
H898C1	H898res	C	Control	1	H898res.Control
H898C2	H898res	C	Control	2	H898res.Control
H898C3	H898res	C	Control	3	H898res.Control
H898C4	H898res	C	Control	4	H898res.Control
H898G1	H898res	G	Gallery	1	H898res.Gallery
H898G2	H898res	G	Gallery	2	H898res.Gallery
H898G3	H898res	G	Gallery	3	H898res.Gallery
H898G4	H898res	G	Gallery	4	H898res.Gallery
H898W1	H898res	W	Wound	1	H898res.Wound
H898W2	H898res	W	Wound	2	H898res.Wound
H898W3	H898res	W	Wound	3	H898res.Wound
H898W4	H898res	W	Wound	4	H898res.Wound
Q903C1	Q903susc	C	Control	1	Q903susc.Control
Q903C2	Q903susc	C	Control	2	Q903susc.Control
Q903C3	Q903susc	C	Control	3	Q903susc.Control
Q903C4	Q903susc	C	Control	4	Q903susc.Control
Q903G1	Q903susc	G	Gallery	1	Q903susc.Gallery
Q903G2	Q903susc	G	Gallery	2	Q903susc.Gallery
Q903G3	Q903susc	G	Gallery	3	Q903susc.Gallery
Q903G4	Q903susc	G	Gallery	4	Q903susc.Gallery
Q903W1	Q903susc	W	Wound	1	Q903susc.Wound
Q903W2	Q903susc	W	Wound	2	Q903susc.Wound
Q903W3	Q903susc	W	Wound	3	Q903susc.Wound
Q903W4	Q903susc	W	Wound	4	Q903susc.Wound
